danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,hit
0.556,0.538,8,0.0382,0.0689,0.0,0.196,0.291,143.95,223347,-5.408,0
0.589,0.731,2,0.0868,0.0534,0.0,0.308,0.191,87.908,268867,-6.343,1
0.675,0.751,0,0.0296,0.0604,0.0,0.0893,0.612,118.384,181279,-3.539,1
0.884,0.814,7,0.303,0.154,1.67e-06,0.158,0.907,155.938,181624,-5.333,1
0.56,0.678,10,0.0581,0.61,1.42e-05,0.111,0.29,122.585,220293,-6.167,0
0.806,0.57,1,0.246,0.0977,0.0,0.105,0.454,93.015,231453,-6.927,1
0.947,0.788,10,0.124,0.107,0.000691,0.108,0.454,129.977,229005,-6.138,0
0.764,0.711,4,0.288,0.175,0.0,0.105,0.774,90.076,112667,-3.818,0
0.601,0.941,11,0.0852,0.0188,0.0,0.526,0.702,111.041,173693,-3.622,1
0.684,0.683,6,0.177,0.13,0.0,0.156,0.406,112.856,231253,-7.366,1
0.496,0.632,7,0.0282,0.257,1.07e-06,0.109,0.278,156.034,241147,-4.933,1
0.728,0.584,10,0.176,0.0524,0.0,0.0658,0.365,161.9,166852,-7.255,0
0.537,0.518,1,0.188,0.118,0.0,0.146,0.427,132.527,236032,-5.987,1
0.538,0.6,6,0.0489,0.0273,0.0,0.147,0.26,81.888,236987,-5.463,1
0.613,0.564,8,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,180907,-7.085,1
0.634,0.668,5,0.0291,0.14,0.0,0.216,0.635,80.989,224627,-5.488,1
0.863,0.657,7,0.105,0.264,0.00619,0.0713,0.829,115.958,235813,-7.295,1
0.404,0.564,11,0.0344,0.915,0.00252,0.134,0.371,93.631,170573,-7.013,0
0.658,0.736,9,0.308,0.113,0.0,0.0978,0.804,143.966,160000,-6.097,0
0.769,0.482,10,0.0502,0.192,0.0,0.0903,0.487,120.959,218744,-7.205,1
0.733,0.892,0,0.0417,0.0376,0.0,0.137,0.675,95.989,173720,-3.641,1
0.725,0.437,6,0.0575,0.593,0.0,0.0842,0.759,83.985,184080,-9.602,1
0.412,0.619,7,0.0725,0.0868,2.55e-06,0.4,0.234,95.977,250053,-6.39,1
0.66,0.775,2,0.172,0.0553,0.0,0.129,0.635,157.036,157643,-4.926,1
0.821,0.434,10,0.118,0.434,0.0,0.128,0.241,120.012,187173,-9.194,0
0.824,0.584,10,0.221,0.0718,0.0,0.106,0.219,139.965,188600,-7.098,0
0.734,0.751,1,0.285,0.00529,0.0,0.183,0.56,161.997,159916,-7.26,1
0.798,0.539,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547,-6.351,1
0.873,0.663,1,0.15,0.0216,0.000356,0.0867,0.525,135.499,115194,-4.086,1
0.475,0.752,11,0.0467,0.00703,0.0,0.406,0.515,154.957,223467,-6.596,0
0.804,0.823,8,0.0488,0.104,0.0,0.2,0.616,126.007,217147,-5.837,1
0.861,0.745,1,0.0608,0.00138,1.87e-05,0.141,0.889,150.002,217560,-6.77,1
0.619,0.798,11,0.381,0.168,0.0,0.17,0.71,156.151,173693,-5.517,0
0.747,0.532,10,0.0394,0.0549,2.78e-06,0.121,0.347,77.032,221360,-5.474,0
0.856,0.652,1,0.143,0.177,0.0,0.193,0.471,97.017,219307,-5.324,1
0.618,0.867,0,0.0439,0.00699,1.03e-06,0.202,0.579,98.03,173082,-4.915,1
0.846,0.711,0,0.061,0.496,0.0,0.247,0.883,120.013,197840,-7.939,1
0.885,0.641,1,0.351,0.175,0.0,0.234,0.201,91.167,142582,-4.455,1
0.727,0.72,11,0.0488,0.0626,1.21e-06,0.176,0.589,140.08,238893,-5.856,0
0.859,0.413,1,0.182,0.132,0.0,0.334,0.697,115.035,194230,-7.399,1
0.852,0.691,6,0.139,0.0375,0.0,0.0517,0.658,61.115,174653,-5.175,0
0.825,0.652,1,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,-3.183,0
0.681,0.372,5,0.0432,0.64,0.0,0.169,0.476,91.873,201000,-8.237,1
0.936,0.523,5,0.0597,0.239,0.0,0.117,0.699,119.889,124056,-6.71,1
0.855,0.478,1,0.193,0.00759,0.0,0.101,0.284,130.018,221827,-9.116,1
0.541,0.787,2,0.0331,0.0167,0.0,0.157,0.2,113.0,245453,-4.618,0
0.582,0.821,0,0.0365,0.00754,2.1e-06,0.818,0.468,100.025,261373,-4.861,1
0.567,0.477,8,0.0331,0.186,4.86e-05,0.111,0.321,85.019,195317,-8.781,0
0.745,0.579,1,0.138,0.0354,0.0118,0.246,0.645,97.002,293947,-5.771,1
0.618,0.582,1,0.297,0.625,3.84e-06,0.265,0.48,90.035,130613,-9.454,1
0.582,0.568,1,0.0297,0.196,0.0,0.0841,0.64,76.025,207187,-6.051,1
0.584,0.621,1,0.0443,0.0715,1.68e-06,0.389,0.634,92.003,178253,-5.703,1
0.624,0.452,0,0.0681,0.315,1.02e-05,0.311,0.724,199.775,243987,-8.206,1
0.654,0.839,9,0.443,0.00531,0.0,0.308,0.549,74.886,255867,-5.076,0
0.663,0.577,11,0.0531,0.109,0.0,0.12,0.454,89.996,193200,-7.518,0
0.793,0.554,11,0.0451,0.00695,0.0,0.127,0.225,119.993,225600,-6.624,0
0.776,0.78,10,0.128,0.0622,0.0,0.081,0.666,124.949,204347,-4.374,0
0.782,0.686,1,0.0594,0.253,0.0,0.08,0.334,75.948,293138,-4.383,1
0.731,0.627,2,0.0754,0.261,0.0,0.112,0.5,90.03,181319,-9.76,1
0.825,0.547,8,0.0859,0.0936,0.0,0.22,0.184,152.007,255849,-3.938,1
0.928,0.721,11,0.15,0.0714,0.0,0.225,0.254,129.997,287992,-5.774,1
0.894,0.324,1,0.179,0.0399,0.0,0.126,0.407,139.972,315185,-8.24,1
0.638,0.441,2,0.0347,0.0422,1.33e-05,0.107,0.473,76.078,214627,-9.064,1
0.884,0.346,8,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,220307,-8.228,0
0.671,0.617,10,0.0561,0.401,0.0,0.119,0.62,147.986,222573,-8.72,1
0.718,0.795,0,0.142,0.223,0.0,0.12,0.292,130.77,183827,-3.978,0
0.943,0.544,10,0.0642,0.0336,0.0,0.0954,0.515,133.012,215423,-6.292,0
0.701,0.458,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,204727,-7.749,1
0.613,0.764,2,0.136,0.0527,0.0,0.197,0.417,160.015,208187,-6.509,1
0.851,0.556,1,0.0417,0.0125,0.0,0.0873,0.843,134.031,204773,-4.98,1
0.638,0.634,6,0.0468,0.214,0.0,0.0866,0.473,92.097,196422,-6.474,1
0.443,0.533,0,0.0396,0.371,0.0,0.128,0.201,77.342,223044,-6.549,1
0.887,0.568,2,0.323,0.00171,1.11e-05,0.0812,0.754,162.038,149242,-5.853,1
0.766,0.709,9,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,-6.471,0
0.589,0.472,8,0.0502,0.614,0.0,0.505,0.898,67.196,126267,-8.749,1
0.319,0.21,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160,-15.231,1
0.683,0.375,0,0.0303,0.579,0.0,0.076,0.888,140.467,135533,-13.056,1
0.765,0.733,4,0.165,0.00186,0.0,0.297,0.495,133.966,148560,-3.518,0
0.439,0.681,0,0.15,0.101,0.000232,0.395,0.3,168.082,251284,-5.516,1
0.668,0.844,1,0.0956,0.00389,0.00879,0.119,0.33,159.108,172017,-4.151,1
0.793,0.574,5,0.0435,0.011,0.0,0.156,0.0601,136.982,199227,-3.513,0
0.868,0.657,8,0.113,0.0158,0.0,0.0995,0.436,162.865,191410,-4.853,1
0.866,0.647,1,0.0545,0.00899,0.0,0.0967,0.0801,150.058,140793,-3.675,1
0.512,0.831,2,0.0383,0.552,0.0,0.336,0.963,148.82,182067,-9.004,1
0.553,0.232,9,0.0326,0.907,0.0,0.123,0.274,137.8,210986,-6.929,1
0.386,0.341,10,0.0407,0.839,0.0,0.129,0.327,168.133,220630,-5.597,1
0.543,0.603,9,0.0287,0.0611,2.77e-06,0.123,0.258,133.782,213577,-5.294,1
0.908,0.621,1,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,-6.638,0
0.551,0.801,6,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,-5.069,1
0.808,0.581,11,0.07,0.0053,1.19e-05,0.0828,0.758,130.012,172427,-5.43,1
0.804,0.66,10,0.0726,0.0319,0.0,0.103,0.257,94.053,169345,-4.86,0
0.813,0.528,6,0.313,0.0715,0.0,0.125,0.131,79.532,207039,-6.305,0
0.576,0.39,10,0.0297,0.491,0.0,0.111,0.319,73.433,230267,-7.202,1
0.745,0.593,8,0.0526,0.00522,5.25e-06,0.123,0.17,111.002,212027,-6.35,1
0.735,0.425,0,0.0466,0.011,0.0,0.055,0.848,85.894,188174,-6.648,1
